Fold,Scaler,C,ACC,Precision,Recall,F1,ROC-AUC
1,StandardScaler,0.01,0.6442,0.7857,0.4024,0.5323,0.7195
1,StandardScaler,0.1,0.6319,0.75,0.4024,0.5238,0.7148
1,StandardScaler,1.0,0.6258,0.7059,0.439,0.5414,0.7063
1,StandardScaler,10.0,0.6074,0.6667,0.439,0.5294,0.7014
1,MinMaxScaler,0.01,0.5767,0.8421,0.1951,0.3168,0.7189
1,MinMaxScaler,0.1,0.5951,0.75,0.2927,0.4211,0.7188
1,MinMaxScaler,1.0,0.6258,0.7692,0.3659,0.4959,0.72
1,MinMaxScaler,10.0,0.6442,0.7727,0.4146,0.5397,0.7191
1,RobustScaler,0.01,0.6319,0.75,0.4024,0.5238,0.7138
1,RobustScaler,0.1,0.6196,0.6923,0.439,0.5373,0.7063
1,RobustScaler,1.0,0.6074,0.6667,0.439,0.5294,0.7011
1,RobustScaler,10.0,0.6074,0.6667,0.439,0.5294,0.7013
1,Normalizer,0.01,0.638,0.7556,0.4146,0.5354,0.6551
1,Normalizer,0.1,0.6196,0.7174,0.4024,0.5156,0.621
1,Normalizer,1.0,0.5951,0.6667,0.3902,0.4923,0.6137
1,Normalizer,10.0,0.5951,0.6667,0.3902,0.4923,0.6131
1,NoScaler,0.01,0.6074,0.6667,0.439,0.5294,0.7013
1,NoScaler,0.1,0.6074,0.6667,0.439,0.5294,0.7013
1,NoScaler,1.0,0.6074,0.6667,0.439,0.5294,0.7013
1,NoScaler,10.0,0.6074,0.6667,0.439,0.5294,0.7013
2,StandardScaler,0.01,0.6442,0.7805,0.3951,0.5246,0.6951
2,StandardScaler,0.1,0.6626,0.7826,0.4444,0.5669,0.7048
2,StandardScaler,1.0,0.6748,0.78,0.4815,0.5954,0.7115
2,StandardScaler,10.0,0.6687,0.7547,0.4938,0.597,0.7139
2,MinMaxScaler,0.01,0.4969,0.4969,1.0,0.6639,0.6813
2,MinMaxScaler,0.1,0.6196,0.7021,0.4074,0.5156,0.6808
2,MinMaxScaler,1.0,0.6319,0.7692,0.3704,0.5,0.6831
2,MinMaxScaler,10.0,0.6564,0.7778,0.4321,0.5556,0.6984
2,RobustScaler,0.01,0.6564,0.7778,0.4321,0.5556,0.7055
2,RobustScaler,0.1,0.6748,0.78,0.4815,0.5954,0.712
2,RobustScaler,1.0,0.6687,0.7547,0.4938,0.597,0.7136
2,RobustScaler,10.0,0.6687,0.7547,0.4938,0.597,0.7135
2,Normalizer,0.01,0.6442,0.7674,0.4074,0.5323,0.6841
2,Normalizer,0.1,0.6626,0.7708,0.4568,0.5736,0.6689
2,Normalizer,1.0,0.6564,0.7551,0.4568,0.5692,0.6656
2,Normalizer,10.0,0.6564,0.7551,0.4568,0.5692,0.6658
2,NoScaler,0.01,0.6687,0.7547,0.4938,0.597,0.7133
2,NoScaler,0.1,0.6687,0.7547,0.4938,0.597,0.7133
2,NoScaler,1.0,0.6687,0.7547,0.4938,0.597,0.7133
2,NoScaler,10.0,0.6687,0.7547,0.4938,0.597,0.7133
3,StandardScaler,0.01,0.716,0.8302,0.5432,0.6567,0.799
3,StandardScaler,0.1,0.7222,0.8103,0.5802,0.6763,0.8104
3,StandardScaler,1.0,0.7222,0.8,0.5926,0.6809,0.8195
3,StandardScaler,10.0,0.7407,0.8197,0.6173,0.7042,0.816
3,MinMaxScaler,0.01,0.7099,0.8036,0.5556,0.6569,0.7915
3,MinMaxScaler,0.1,0.6852,0.8,0.4938,0.6107,0.7909
3,MinMaxScaler,1.0,0.6975,0.8077,0.5185,0.6316,0.7939
3,MinMaxScaler,10.0,0.7346,0.8276,0.5926,0.6906,0.804
3,RobustScaler,0.01,0.716,0.7966,0.5802,0.6714,0.811
3,RobustScaler,0.1,0.7222,0.8,0.5926,0.6809,0.8195
3,RobustScaler,1.0,0.7407,0.8197,0.6173,0.7042,0.8162
3,RobustScaler,10.0,0.7407,0.8197,0.6173,0.7042,0.8163
3,Normalizer,0.01,0.7222,0.8103,0.5802,0.6763,0.7537
3,Normalizer,0.1,0.7407,0.8305,0.6049,0.7,0.7602
3,Normalizer,1.0,0.7222,0.8,0.5926,0.6809,0.7602
3,Normalizer,10.0,0.7222,0.8,0.5926,0.6809,0.7593
3,NoScaler,0.01,0.7407,0.8197,0.6173,0.7042,0.8162
3,NoScaler,0.1,0.7407,0.8197,0.6173,0.7042,0.8162
3,NoScaler,1.0,0.7407,0.8197,0.6173,0.7042,0.8162
3,NoScaler,10.0,0.7407,0.8197,0.6173,0.7042,0.8162
4,StandardScaler,0.01,0.6358,0.7115,0.4568,0.5564,0.6914
4,StandardScaler,0.1,0.6481,0.7308,0.4691,0.5714,0.7086
4,StandardScaler,1.0,0.6358,0.6964,0.4815,0.5693,0.7225
4,StandardScaler,10.0,0.6667,0.7213,0.5432,0.6197,0.7197
4,MinMaxScaler,0.01,0.642,0.6949,0.5062,0.5857,0.6709
4,MinMaxScaler,0.1,0.6296,0.6981,0.4568,0.5522,0.6717
4,MinMaxScaler,1.0,0.6296,0.6981,0.4568,0.5522,0.6773
4,MinMaxScaler,10.0,0.6296,0.6981,0.4568,0.5522,0.6949
4,RobustScaler,0.01,0.6481,0.7308,0.4691,0.5714,0.711
4,RobustScaler,0.1,0.6358,0.6964,0.4815,0.5693,0.7228
4,RobustScaler,1.0,0.6667,0.7213,0.5432,0.6197,0.7199
4,RobustScaler,10.0,0.6667,0.7213,0.5432,0.6197,0.7196
4,Normalizer,0.01,0.6543,0.7193,0.5062,0.5942,0.7127
4,Normalizer,0.1,0.6296,0.6842,0.4815,0.5652,0.7054
4,Normalizer,1.0,0.6296,0.6842,0.4815,0.5652,0.6996
4,Normalizer,10.0,0.6235,0.6786,0.4691,0.5547,0.6984
4,NoScaler,0.01,0.6667,0.7213,0.5432,0.6197,0.7193
4,NoScaler,0.1,0.6667,0.7213,0.5432,0.6197,0.7194
4,NoScaler,1.0,0.6667,0.7213,0.5432,0.6197,0.7194
4,NoScaler,10.0,0.6667,0.7213,0.5432,0.6197,0.7194
5,StandardScaler,0.01,0.7037,0.8235,0.5185,0.6364,0.7403
5,StandardScaler,0.1,0.6975,0.7581,0.5802,0.6573,0.7453
5,StandardScaler,1.0,0.6975,0.7581,0.5802,0.6573,0.7549
5,StandardScaler,10.0,0.7037,0.7619,0.5926,0.6667,0.7574
5,MinMaxScaler,0.01,0.679,0.8085,0.4691,0.5938,0.74
5,MinMaxScaler,0.1,0.679,0.8085,0.4691,0.5938,0.7401
5,MinMaxScaler,1.0,0.6975,0.82,0.5062,0.626,0.7426
5,MinMaxScaler,10.0,0.6975,0.7581,0.5802,0.6573,0.7459
5,RobustScaler,0.01,0.7099,0.7931,0.5679,0.6619,0.7455
5,RobustScaler,0.1,0.7037,0.7619,0.5926,0.6667,0.7517
5,RobustScaler,1.0,0.6975,0.7581,0.5802,0.6573,0.7574
5,RobustScaler,10.0,0.7037,0.7619,0.5926,0.6667,0.7574
5,Normalizer,0.01,0.6975,0.8077,0.5185,0.6316,0.7685
5,Normalizer,0.1,0.7037,0.8,0.5432,0.6471,0.7356
5,Normalizer,1.0,0.679,0.7544,0.5309,0.6232,0.7295
5,Normalizer,10.0,0.679,0.7544,0.5309,0.6232,0.7285
5,NoScaler,0.01,0.7037,0.7619,0.5926,0.6667,0.7572
5,NoScaler,0.1,0.7037,0.7619,0.5926,0.6667,0.757
5,NoScaler,1.0,0.7037,0.7619,0.5926,0.6667,0.757
5,NoScaler,10.0,0.7037,0.7619,0.5926,0.6667,0.757
