Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,SGD_Hinge,0.693,0.7184,0.925,0.8087,0.718,74,5,29,6
StandardScaler,SGD_SqHinge,0.693,0.7027,0.975,0.8168,0.7173,78,1,33,2
StandardScaler,SGD_Hinge,0.7018,0.7091,0.975,0.8211,0.7162,78,2,32,2
MinMaxScaler,SGD_SqHinge,0.6842,0.6964,0.975,0.8125,0.7147,78,0,34,2
RobustScaler,SGD_Hinge,0.7018,0.7018,1.0,0.8247,0.7129,80,0,34,0
NoScaler,LinearSVC,0.7105,0.708,1.0,0.829,0.7125,80,1,33,0
RobustScaler,SGD_SqHinge,0.693,0.6991,0.9875,0.8187,0.7077,79,0,34,1
StandardScaler,LinearSVC,0.693,0.7273,0.9,0.8045,0.7055,72,7,27,8
RobustScaler,LinearSVC,0.7018,0.73,0.9125,0.8111,0.6996,73,7,27,7
NoScaler,SGD_Hinge,0.7018,0.7018,1.0,0.8247,0.6982,80,0,34,0
Normalizer,SGD_SqHinge,0.7105,0.7282,0.9375,0.8197,0.6963,75,6,28,5
MinMaxScaler,LinearSVC,0.6842,0.7245,0.8875,0.7978,0.6956,71,7,27,9
NoScaler,SGD_SqHinge,0.7018,0.7018,1.0,0.8247,0.6919,80,0,34,0
Normalizer,SGD_Hinge,0.693,0.6991,0.9875,0.8187,0.6643,79,0,34,1
Normalizer,LinearSVC,0.7105,0.7156,0.975,0.8254,0.629,78,3,31,2
